vehicle_category,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
MEDIUM LOW,GC,202028,0.5945745044790114,2020,7,0.40625,0.8008474576271185,0.23529411764705882,0.588235294117647,True
MEDIUM LOW,GC,202041,0.5945745044790114,2020,10,0.40625,0.8008474576271185,1.1176470588235292,0.588235294117647,True
MEDIUM LOW,GC,202043,0.5945745044790114,2020,10,0.40625,0.8008474576271185,1.2352941176470587,0.588235294117647,True
MEDIUM LOW,GC,202101,0.5945745044790114,2021,1,0.40625,0.8008474576271185,0.7647058823529411,0.588235294117647,True
MEDIUM LOW,GC,202108,0.5945745044790114,2021,2,0.40625,0.8008474576271186,1.176470588235294,0.588235294117647,True
MEDIUM LOW,GD,202010,0.3212513356787782,2020,3,0.484375,0.7680084745762711,0.35294117647058826,0.588235294117647,True
MEDIUM LOW,GD,202026,0.3212513356787782,2020,6,0.484375,0.7680084745762712,0.588235294117647,0.588235294117647,True
MEDIUM LOW,GD,202032,0.3212513356787782,2020,8,0.484375,0.7680084745762712,1.176470588235294,0.588235294117647,True
MEDIUM LOW,GD,202039,0.3212513356787782,2020,9,0.484375,0.7680084745762712,0.47058823529411764,0.588235294117647,True
MEDIUM LOW,GD,202111,0.3212513356787782,2021,3,0.484375,0.8209745762711863,0.8823529411764707,0.588235294117647,True
MEDIUM LOW,GD,202115,0.3212513356787782,2021,4,0.484375,0.8209745762711864,0.8235294117647057,0.588235294117647,False
MEDIUM LOW,GE,202005,0.22331282124922394,2020,1,0.390625,0.6567796610169492,0.9411764705882353,0.588235294117647,True
MEDIUM LOW,GE,202104,0.22331282124922394,2021,1,0.390625,0.6567796610169492,1.176470588235294,0.588235294117647,True
MEDIUM LOW,GE,202108,0.22331282124922394,2021,2,0.390625,0.6567796610169492,2.0588235294117645,0.588235294117647,True
MEDIUM LOW,GF,202004,0.772438347601691,2020,1,0.578125,1.1228813559322033,1.1176470588235292,1.176470588235294,True
MEDIUM LOW,GF,202007,0.772438347601691,2020,2,0.578125,1.1228813559322033,0.8235294117647057,0.588235294117647,True
MEDIUM LOW,GF,202008,0.772438347601691,2020,2,0.578125,1.1228813559322033,1.1176470588235292,0.588235294117647,True
MEDIUM LOW,GF,202009,0.772438347601691,2020,2,0.578125,1.1228813559322033,3.176470588235294,1.764705882352941,True
