vehicle_category,garage,reachable_population,year,week_of_year,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
LOW END,JD,1.7605281052155881,2020,10,1.0,0.8085106382978723,0.9444444444444445,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2020,18,1.0,0.8085106382978723,1.5000000000000002,1.1111111111111112,True
LOW END,JD,1.7605281052155881,2020,19,1.0,0.8085106382978723,1.0555555555555556,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2020,20,1.0,0.8085106382978723,1.0000000000000002,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2020,22,1.0,0.8085106382978723,1.8333333333333335,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2020,23,1.0,0.8085106382978722,1.2222222222222225,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2020,25,1.0,1.0106382978723405,1.0555555555555556,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2020,29,1.0,1.0106382978723405,0.8333333333333334,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2020,30,1.0,1.0106382978723405,0.4444444444444445,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2020,31,1.0,1.0106382978723405,1.0000000000000002,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2020,40,1.0,1.0638297872340425,1.8333333333333335,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2020,48,1.0,1.0638297872340425,0.9444444444444445,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2021,1,1.0,0.851063829787234,2.111111111111111,1.1111111111111112,True
LOW END,JD,1.7605281052155881,2021,3,1.0,1.0638297872340425,0.2777777777777778,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2021,6,1.0,0.8510638297872339,1.2222222222222225,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2021,8,1.0,1.0638297872340425,1.1666666666666667,0.5555555555555556,True
LOW END,JD,1.7605281052155881,2021,10,1.0,0.851063829787234,1.1666666666666667,0.5555555555555556,True
LOW END,JE,1.9193228900498793,2020,7,1.03125,0.9468085106382979,1.0555555555555556,0.5555555555555556,True
