vehicle_make,garage,year_week,reachable_population,year,month,number_of_competitors,x_unit_cost,x_units,demand_value,is_training_data
AB,KV,202024,3.956935671925984,2020,6,2.546875,1.236842105263158,0.9333333333333332,0.6666666666666666,True
AB,KV,202025,3.956935671925984,2020,6,2.546875,1.236842105263158,0.9333333333333332,0.6666666666666666,True
AB,KV,202032,3.956935671925984,2020,8,2.546875,1.236842105263158,0.4666666666666666,0.6666666666666666,True
AB,KV,202035,3.956935671925984,2020,8,2.546875,1.2368421052631577,1.1333333333333335,0.6666666666666666,True
AB,KV,202038,3.956935671925984,2020,9,2.546875,1.2368421052631577,1.1333333333333335,0.6666666666666666,True
AB,KV,202039,3.956935671925984,2020,9,2.546875,1.2368421052631577,1.9333333333333336,0.6666666666666666,True
AB,KW,202004,4.000260030029274,2020,1,2.578125,1.2421052631578946,1.1333333333333335,0.6666666666666666,True
AB,KW,202005,4.000260030029274,2020,1,2.578125,1.2421052631578948,1.3333333333333333,1.3333333333333333,True
AB,KW,202008,4.000260030029274,2020,2,2.578125,1.2421052631578948,1.2,0.6666666666666666,True
AB,KW,202010,4.000260030029274,2020,3,2.578125,1.1178947368421053,3.066666666666667,1.3333333333333333,True
AB,KW,202012,4.000260030029274,2020,3,2.578125,1.2421052631578948,1.4000000000000001,0.6666666666666666,True
AB,KW,202013,4.000260030029274,2020,3,2.578125,1.1178947368421053,1.2666666666666666,1.3333333333333333,True
AB,KW,202015,4.000260030029274,2020,4,2.578125,1.2421052631578946,1.1333333333333335,0.6666666666666666,True
AB,KW,202016,4.000260030029274,2020,4,2.578125,1.2421052631578948,1.6666666666666667,0.6666666666666666,True
AB,KW,202017,4.000260030029274,2020,4,2.578125,1.2421052631578946,1.5333333333333334,0.6666666666666666,True
AB,KW,202018,4.000260030029274,2020,4,2.578125,1.2421052631578948,1.4666666666666668,0.6666666666666666,True
AB,KW,202019,4.000260030029274,2020,5,2.578125,1.2421052631578948,1.5333333333333334,1.3333333333333333,True
AB,KW,202021,4.000260030029274,2020,5,2.578125,1.2421052631578946,1.1333333333333335,0.6666666666666666,True
AB,KW,202023,4.000260030029274,2020,6,2.578125,0.9936842105263158,3.6,0.6666666666666666,True
AB,KW,202024,4.000260030029274,2020,6,2.578125,1.242105263157895,0.6,0.6666666666666666,True
AB,KW,202026,4.000260030029274,2020,6,2.578125,0.9936842105263158,2.1333333333333333,1.3333333333333333,True
AB,KW,202027,4.000260030029274,2020,6,2.578125,0.9936842105263158,2.066666666666667,1.3333333333333333,True
AB,KW,202027,4.000260030029274,2020,7,2.578125,1.1178947368421053,1.8666666666666665,1.3333333333333333,True
AB,KW,202028,4.000260030029274,2020,7,2.578125,1.2421052631578948,2.4,1.3333333333333333,True
AB,KW,202029,4.000260030029274,2020,7,2.578125,1.2421052631578946,3.133333333333334,1.3333333333333333,True
AB,KW,202030,4.000260030029274,2020,7,2.578125,1.2421052631578946,1.666666666666667,0.6666666666666666,True
AB,KW,202031,4.000260030029274,2020,7,2.578125,1.2421052631578948,1.3333333333333333,0.6666666666666666,True
AB,KW,202034,4.000260030029274,2020,8,2.578125,1.2421052631578948,2.6666666666666665,1.3333333333333333,True
AB,KW,202035,4.000260030029274,2020,8,2.578125,1.2421052631578948,3.5333333333333337,1.3333333333333333,True
AB,KW,202036,4.000260030029274,2020,8,2.578125,1.2421052631578946,1.666666666666667,0.6666666666666666,True
AB,KW,202039,4.000260030029274,2020,9,2.578125,1.159298245614035,3.533333333333333,2.0,True
AB,KW,202040,4.000260030029274,2020,9,2.578125,0.9936842105263158,3.5333333333333337,1.3333333333333333,True
AB,KW,202041,4.000260030029274,2020,10,2.578125,1.0666578947368421,5.933333333333334,2.6666666666666665,True
AB,KW,202043,4.000260030029274,2020,10,2.578125,0.9936842105263158,4.2,1.3333333333333333,True
AB,KW,202046,4.000260030029274,2020,11,2.578125,1.2421052631578946,1.4000000000000004,0.6666666666666666,True
AB,KW,202049,4.000260030029274,2020,12,2.578125,1.2421052631578948,1.5999999999999999,0.6666666666666666,True
AB,KW,202050,4.000260030029274,2020,12,2.578125,1.2421052631578948,6.733333333333333,2.6666666666666665,True
AB,KW,202051,4.000260030029274,2020,12,2.578125,0.9936842105263158,1.2666666666666666,0.6666666666666666,True
AB,KW,202052,4.000260030029274,2020,12,2.578125,1.2421052631578948,0.4666666666666666,0.6666666666666666,True
AB,KW,202101,4.000260030029274,2021,1,2.578125,1.2421052631578948,1.4000000000000001,0.6666666666666666,True
AB,KW,202102,4.000260030029274,2021,1,2.578125,1.2421052631578946,1.5333333333333334,0.6666666666666666,True
AB,KW,202103,4.000260030029274,2021,1,2.578125,1.159298245614035,2.733333333333334,2.0,True
AB,KW,202104,4.000260030029274,2021,1,2.578125,0.9936842105263158,1.4666666666666668,0.6666666666666666,True
AB,KW,202105,4.000260030029274,2021,2,2.578125,0.9936842105263155,1.5333333333333334,0.6666666666666666,True
AB,KW,202106,4.000260030029274,2021,2,2.578125,1.0868421052631578,1.5333333333333332,1.3333333333333333,True
AB,KW,202107,4.000260030029274,2021,2,2.578125,0.931578947368421,3.066666666666667,1.3333333333333333,True
AB,KW,202108,4.000260030029274,2021,2,2.578125,1.0868421052631578,2.066666666666667,1.3333333333333333,True
AB,KW,202109,4.000260030029274,2021,3,2.578125,1.2421052631578948,2.466666666666667,2.0,True
AB,KW,202112,4.000260030029274,2021,3,2.578125,1.2421052631578948,7.9333333333333345,3.3333333333333335,True
AB,KW,202113,4.000260030029274,2021,3,2.578125,1.2421052631578948,1.0666666666666667,0.6666666666666666,True
AB,KW,202113,4.000260030029274,2021,4,2.578125,1.2421052631578948,1.4000000000000001,0.6666666666666666,False
AB,KW,202116,4.000260030029274,2021,4,2.578125,1.2421052631578948,3.4,2.0,False
AB,KX,202005,3.6881401142454515,2020,1,2.5625,1.2105263157894737,0.4666666666666666,0.6666666666666666,True
