year_week,target_1,ds,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,target_2,target_3,target_4,number_of_holidays,number_of_holidays_next_week,number_of_holidays_previous_week
202041,1.168241965973535,2020-10-05,1.168241965973535,1.1266540642722118,1.1776937618147447,1.1342155009451795,1.2003780718336483,1.5236294896030245,1.2117202268431002,1.2608695652173914,1.0586011342155008,1.0415879017013232,1.2098298676748582,1.3137996219281665,0,0,0
202042,1.0415879017013232,2020-10-12,1.168241965973535,1.168241965973535,1.1266540642722118,1.1776937618147447,1.1342155009451795,1.2003780718336483,1.5236294896030245,1.2117202268431002,1.2608695652173914,1.2098298676748582,1.3137996219281665,1.0586011342155008,0,0,0
202043,1.2098298676748582,2020-10-19,1.0415879017013232,1.168241965973535,1.168241965973535,1.1266540642722118,1.1776937618147447,1.1342155009451795,1.2003780718336483,1.5236294896030245,1.2117202268431002,1.3137996219281665,1.0586011342155008,0.945179584120983,0,1,0
202044,1.3137996219281665,2020-10-26,1.2098298676748582,1.0415879017013232,1.168241965973535,1.168241965973535,1.1266540642722118,1.1776937618147447,1.1342155009451795,1.2003780718336483,1.5236294896030245,1.0586011342155008,0.945179584120983,0.8449905482041588,1,0,0
202045,1.0586011342155008,2020-11-02,1.3137996219281665,1.2098298676748582,1.0415879017013232,1.168241965973535,1.168241965973535,1.1266540642722118,1.1776937618147447,1.1342155009451795,1.2003780718336483,0.945179584120983,0.8449905482041588,1.00945179584121,0,0,1
202046,0.945179584120983,2020-11-09,1.0586011342155008,1.3137996219281665,1.2098298676748582,1.0415879017013232,1.168241965973535,1.168241965973535,1.1266540642722118,1.1776937618147447,1.1342155009451795,0.8449905482041588,1.00945179584121,1.0132325141776937,0,0,0
202047,0.8449905482041588,2020-11-16,0.945179584120983,1.0586011342155008,1.3137996219281665,1.2098298676748582,1.0415879017013232,1.168241965973535,1.168241965973535,1.1266540642722118,1.1776937618147447,1.00945179584121,1.0132325141776937,0.9319470699432892,0,0,0
202048,1.00945179584121,2020-11-23,0.8449905482041588,0.945179584120983,1.0586011342155008,1.3137996219281665,1.2098298676748582,1.0415879017013232,1.168241965973535,1.168241965973535,1.1266540642722118,1.0132325141776937,0.9319470699432892,0.8620037807183365,0,0,0
202049,1.0132325141776937,2020-11-30,1.00945179584121,0.8449905482041588,0.945179584120983,1.0586011342155008,1.3137996219281665,1.2098298676748582,1.0415879017013232,1.168241965973535,1.168241965973535,0.9319470699432892,0.8620037807183365,0.42344045368620037,0,0,0
202050,0.9319470699432892,2020-12-07,1.0132325141776937,1.00945179584121,0.8449905482041588,0.945179584120983,1.0586011342155008,1.3137996219281665,1.2098298676748582,1.0415879017013232,1.168241965973535,0.8620037807183365,0.42344045368620037,0.39697542533081287,0,0,0
202051,0.8620037807183365,2020-12-14,0.9319470699432892,1.0132325141776937,1.00945179584121,0.8449905482041588,0.945179584120983,1.0586011342155008,1.3137996219281665,1.2098298676748582,1.0415879017013232,0.42344045368620037,0.39697542533081287,0.8412098298676749,0,3,0
202052,0.42344045368620037,2020-12-21,0.8620037807183365,0.9319470699432892,1.0132325141776937,1.00945179584121,0.8449905482041588,0.945179584120983,1.0586011342155008,1.3137996219281665,1.2098298676748582,0.39697542533081287,0.8412098298676749,0.9829867674858223,3,1,0
202053,0.39697542533081287,2020-12-28,0.42344045368620037,0.8620037807183365,0.9319470699432892,1.0132325141776937,1.00945179584121,0.8449905482041588,0.945179584120983,1.0586011342155008,1.3137996219281665,0.8412098298676749,0.9829867674858223,1.0,1,2,3
202101,0.8412098298676749,2021-01-04,0.39697542533081287,0.42344045368620037,0.8620037807183365,0.9319470699432892,1.0132325141776937,1.00945179584121,0.8449905482041588,0.945179584120983,1.0586011342155008,0.9829867674858223,1.0,1.1323251417769375,2,0,1
202102,0.9829867674858223,2021-01-11,0.8412098298676749,0.39697542533081287,0.42344045368620037,0.8620037807183365,0.9319470699432892,1.0132325141776937,1.00945179584121,0.8449905482041588,0.945179584120983,1.0,1.1323251417769375,1.0453686200378072,0,0,2
202103,1.0,2021-01-18,0.9829867674858223,0.8412098298676749,0.39697542533081287,0.42344045368620037,0.8620037807183365,0.9319470699432892,1.0132325141776937,1.00945179584121,0.8449905482041588,1.1323251417769375,1.0453686200378072,0.9092627599243857,0,0,0
202104,1.1323251417769375,2021-01-25,1.0,0.9829867674858223,0.8412098298676749,0.39697542533081287,0.42344045368620037,0.8620037807183365,0.9319470699432892,1.0132325141776937,1.00945179584121,1.0453686200378072,0.9092627599243857,0.9395085066162571,0,0,0
202105,1.0453686200378072,2021-02-01,1.1323251417769375,1.0,0.9829867674858223,0.8412098298676749,0.39697542533081287,0.42344045368620037,0.8620037807183365,0.9319470699432892,1.0132325141776937,0.9092627599243857,0.9395085066162571,1.1228733459357279,0,0,0
202106,0.9092627599243857,2021-02-08,1.0453686200378072,1.1323251417769375,1.0,0.9829867674858223,0.8412098298676749,0.39697542533081287,0.42344045368620037,0.8620037807183365,0.9319470699432892,0.9395085066162571,1.1228733459357279,1.0170132325141776,0,0,0
202107,0.9395085066162571,2021-02-15,0.9092627599243857,1.0453686200378072,1.1323251417769375,1.0,0.9829867674858223,0.8412098298676749,0.39697542533081287,0.42344045368620037,0.8620037807183365,1.1228733459357279,1.0170132325141776,1.0189035916824196,0,0,0
202108,1.1228733459357279,2021-02-22,0.9395085066162571,0.9092627599243857,1.0453686200378072,1.1323251417769375,1.0,0.9829867674858223,0.8412098298676749,0.39697542533081287,0.42344045368620037,1.0170132325141776,1.0189035916824196,0.9300567107750473,0,0,0
202109,1.0170132325141776,2021-03-01,1.1228733459357279,0.9395085066162571,0.9092627599243857,1.0453686200378072,1.1323251417769375,1.0,0.9829867674858223,0.8412098298676749,0.39697542533081287,1.0189035916824196,0.9300567107750473,1.0151228733459357,0,0,0
202110,1.0189035916824196,2021-03-08,1.0170132325141776,1.1228733459357279,0.9395085066162571,0.9092627599243857,1.0453686200378072,1.1323251417769375,1.0,0.9829867674858223,0.8412098298676749,0.9300567107750473,1.0151228733459357,0.8941398865784499,0,0,0
202111,0.9300567107750473,2021-03-15,1.0189035916824196,1.0170132325141776,1.1228733459357279,0.9395085066162571,0.9092627599243857,1.0453686200378072,1.1323251417769375,1.0,0.9829867674858223,1.0151228733459357,0.8941398865784499,0.9168241965973535,0,0,0
202112,1.0151228733459357,2021-03-22,0.9300567107750473,1.0189035916824196,1.0170132325141776,1.1228733459357279,0.9395085066162571,0.9092627599243857,1.0453686200378072,1.1323251417769375,1.0,0.8941398865784499,0.9168241965973535,1.1190926275992439,0,2,0
